Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,
2023-01-08,17:30,TS Galaxy,0–0,Stellenbosch FC,,Mbombela Stadium,Siyabonga Nkomo,Match Report,
2023-01-10,19:30,Sundowns,2–1,Chippa Utd,,Loftus Versfeld Stadium,Olani Kwinda,Match Report,
2023-01-11,19:30,Stellenbosch FC,1–1,Marumo Gallants FC,,Danie Craven Stadium,Tshililo Muvhali,Match Report,
2023-01-13,19:30,AmaZulu,4–0,Kaizer Chiefs,,Moses Mabhida Stadium,Masixole Bambiso,Match Report,
2023-01-14,15:30,Marumo Gallants FC,0–2,Richards Bay FC,,Royal Bafokeng Stadium,Jelly Chavani,Match Report,
2023-01-14,15:30,Orlando Pirates,3–1,Golden Arrows,,Orlando Stadium,Thabo khabela,Match Report,
2023-01-14,17:30,Stellenbosch FC,0–1,Sekhukhune United FC,,Danie Craven Stadium,Thokozani Mkhize,Match Report,
2023-01-14,17:30,Chippa Utd,1–1,Cape Town City,,Nelson Mandela Bay Stadium,Michael Mosemeng,Match Report,
2023-01-15,15:30,Moroka Swallows,0–0,TS Galaxy,,Volkswagen Dobsonville Stadium,Sikhumbuzo Gasa,Match Report,
2023-01-15,17:30,Maritzburg Utd,3–1,Royal Eagles FC,,Harry Gwala Stadium,Cedrick Muvhali,Match Report,
2023-01-16,18:00,Sundowns,1–0,SuperSport,,Loftus Versfeld Stadium,Luxolo Badi,Match Report,
2023-01-20,19:30,Sekhukhune United FC,1–0,Moroka Swallows,,Peter Mokaba Stadium,Christopher Kistoor,Match Report,
2023-01-20,19:30,Cape Town City,1–0,TS Galaxy,,DHL Stadium,Jelly Chavani,Match Report,
2023-01-21,15:30,Golden Arrows,0–1,Maritzburg Utd,,Princess Magogo Stadium,Thando Ndzandzeka,Match Report,
2023-01-21,15:30,Royal Eagles FC,1–1,Chippa Utd,,Chatsworth Stadium,Tshidiso Mkwanazi,Match Report,
2023-01-21,20:00,Kaizer Chiefs,0–1,Sundowns,,FNB Stadium,Sikhumbuzo Gasa,Match Report,
2023-01-21,20:00,AmaZulu,1–1,Marumo Gallants FC,,Moses Mabhida Stadium,Luxolo Badi,Match Report,
2023-01-22,15:30,Orlando Pirates,4–1,Stellenbosch FC,,Orlando Stadium,Michael Mosemeng,Match Report,
2023-01-22,17:30,SuperSport,1–1,Richards Bay FC,,Lucas Masterpieces Moripe Stadium,Masixole Bambiso,Match Report,
2023-01-24,19:30,TS Galaxy,1–2,Sundowns,,Mbombela Stadium,Philangenkosi Khumalo,Match Report,
2023-01-25,19:30,Golden Arrows,3–2,Marumo Gallants FC,,Princess Magogo Stadium,Qunta Siyabulela,Match Report,
2023-01-27,19:30,Stellenbosch FC,3–2,Cape Town City,,Danie Craven Stadium,Luxolo Badi,Match Report,
2023-01-28,15:30,Sundowns,2–0,Sekhukhune United FC,,Loftus Versfeld Stadium,Thokozani Mkhize,Match Report,
2023-01-28,17:30,Moroka Swallows,0–0,SuperSport,,Volkswagen Dobsonville Stadium,Sikhumbuzo Gasa,Match Report,
2023-01-28,20:00,Marumo Gallants FC,0–2,Orlando Pirates,,Royal Bafokeng Stadium,Philangenkosi Khumalo,Match Report,
2023-01-29,15:30,Chippa Utd,1–0,Maritzburg Utd,,Nelson Mandela Bay Stadium,Jelly Chavani,Match Report,
2023-01-29,15:30,Richards Bay FC,1–1,AmaZulu,,King Goodwill Zwelithini Stadium,Thando Ndzandzeka,Match Report,
2023-01-29,17:30,Kaizer Chiefs,2–0,Royal Eagles FC,,Peter Mokaba Stadium,Cedrick Muvhali,Match Report,
2023-01-29,17:30,TS Galaxy,4–0,Golden Arrows,,Mbombela Stadium,Frank Magapole,Match Report,
2023-02-03,18:00,Moroka Swallows,1–0,Richards Bay FC,,Volkswagen Dobsonville Stadium,Luxolo Badi,Match Report,
2023-02-03,19:30,Maritzburg Utd,1–1,AmaZulu,,Harry Gwala Stadium,Sikhumbuzo Gasa,Match Report,
2023-02-04,15:30,Golden Arrows,1–2,Royal Eagles FC,,Princess Magogo Stadium,Christopher Kistoor,Match Report,
2023-02-04,15:30,Orlando Pirates,0–1,Sundowns,,Orlando Stadium,Masixole Bambiso,Match Report,
2023-02-04,15:30,Chippa Utd,1–2,Stellenbosch FC,,Nelson Mandela Bay Stadium,Thando Ndzandzeka,Match Report,
2023-02-04,17:30,SuperSport,2–0,Cape Town City,,Lucas Masterpieces Moripe Stadium,Philangenkosi Khumalo,Match Report,
2023-02-04,20:00,Marumo Gallants FC,2–0,Sekhukhune United FC,,Royal Bafokeng Stadium,Tshililo Muvhali,Match Report,
2023-02-05,15:30,TS Galaxy,0–0,Kaizer Chiefs,,Mbombela Stadium,Olani Kwinda,Match Report,
2023-02-17,19:30,Orlando Pirates,2–1,Maritzburg Utd,,Orlando Stadium,Michael Mosemeng,Match Report,
2023-02-18,15:30,Royal Eagles FC,1–1,SuperSport,,Chatsworth Stadium,Masixole Bambiso,Match Report,
2023-02-18,17:30,Sekhukhune United FC,2–0,Richards Bay FC,,Peter Mokaba Stadium,Xola Sitela,Match Report,
2023-02-18,20:00,AmaZulu,1–2,TS Galaxy,,Moses Mabhida Stadium,Christopher Kistoor,Match Report,
2023-02-19,15:30,Kaizer Chiefs,2–3,Golden Arrows,,Peter Mokaba Stadium,Luxolo Badi,Match Report,
2023-02-19,17:30,Cape Town City,2–0,Moroka Swallows,,DHL Stadium,Cedrick Muvhali,Match Report,
2023-02-24,19:30,SuperSport,2–0,Maritzburg Utd,,Lucas Masterpieces Moripe Stadium,Cedrick Muvhali,Match Report,
2023-02-25,15:30,Kaizer Chiefs,1–0,Orlando Pirates,,FNB Stadium,Abongile Tom,Match Report,
2023-02-25,17:30,Richards Bay FC,1–2,Stellenbosch FC,,King Goodwill Zwelithini Stadium,Jelly Chavani,Match Report,
2023-02-25,17:30,Sekhukhune United FC,0–1,Cape Town City,,Peter Mokaba Stadium,Sikhumbuzo Gasa,Match Report,
2023-02-25,20:00,AmaZulu,1–1,Royal Eagles FC,,Moses Mabhida Stadium,Luxolo Badi,Match Report,
2023-02-26,15:30,Chippa Utd,1–2,Moroka Swallows,,Nelson Mandela Bay Stadium,Tshidiso Mkwanazi,Match Report,
2023-03-03,19:30,Moroka Swallows,1–4,Orlando Pirates,,Volkswagen Dobsonville Stadium,Christopher Kistoor,Match Report,
2023-03-04,15:30,Richards Bay FC,0–1,Kaizer Chiefs,,King Goodwill Zwelithini Stadium,Masixole Bambiso,Match Report,
2023-03-04,17:45,Royal Eagles FC,2–0,Sekhukhune United FC,,Chatsworth Stadium,Abongile Tom,Match Report,
2023-03-04,20:00,Maritzburg Utd,1–2,Cape Town City,,Harry Gwala Stadium,Philangenkosi Khumalo,Match Report,
2023-03-05,15:30,Stellenbosch FC,1–1,Sundowns,,Danie Craven Stadium,Jelly Chavani,Match Report,
2023-03-05,15:30,Marumo Gallants FC,0–0,TS Galaxy,,Toyota Stadium,Thando Ndzandzeka,Match Report,
2023-03-05,15:30,Chippa Utd,0–2,AmaZulu,,Nelson Mandela Bay Stadium,Thabo khabela,Match Report,
2023-03-05,17:45,SuperSport,2–1,Golden Arrows,,Lucas Masterpieces Moripe Stadium,Tshidiso Mkwanazi,Match Report,
2023-03-14,19:30,Cape Town City,2–2,Marumo Gallants FC,,DHL Stadium,Olani Kwinda,Match Report,
2023-03-14,19:30,Sundowns,5–1,Royal Eagles FC,,Loftus Versfeld Stadium,Christopher Kistoor,Match Report,
2023-03-17,19:30,Stellenbosch FC,2–0,AmaZulu,,Danie Craven Stadium,Cedrick Muvhali,Match Report,
2023-03-17,19:30,Moroka Swallows,0–1,Golden Arrows,,Toyota Stadium,Abongile Tom,Match Report,
2023-03-18,15:30,Sekhukhune United FC,1–1,Chippa Utd,,Peter Mokaba Stadium,Sikhumbuzo Gasa,Match Report,
2023-03-18,17:45,Orlando Pirates,1–0,SuperSport,,Orlando Stadium,Jelly Chavani,Match Report,
2023-03-18,20:00,Maritzburg Utd,2–3,Kaizer Chiefs,,Harry Gwala Stadium,Xola Sitela,Match Report,
2023-03-19,15:30,TS Galaxy,4–0,Richards Bay FC,,Mbombela Stadium,Tshidiso Mkwanazi,Match Report,
2023-04-01,15:00,Richards Bay FC,0–2,Orlando Pirates,,King Goodwill Zwelithini Stadium,Xola Sitela,Match Report,
2023-04-01,17:30,Kaizer Chiefs,2–1,Stellenbosch FC,,FNB Stadium,Tshidiso Mkwanazi,Match Report,
