,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
137,16.0,Wed,2017-02-08,19:30,Platinum Stars,0–0,Orlando Pirates,1500.0,Royal Bafokeng Stadium,Olani Kwinda,Match Report,
138,16.0,Wed,2017-02-08,19:30,Bloem Celtic,0–1,Sundowns,10000.0,Dr. Petrus Molemela Stadium,Naasif Moegamat Julius,Match Report,
139,16.0,Wed,2017-02-08,19:30,SuperSport,5–2,Golden Arrows,1500.0,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
140,,,,,,,,,,,,
141,14.0,Sat,2017-02-11,15:30,Sundowns,6–0,Orlando Pirates,20000.0,Loftus Versfeld Stadium,Daniel Bennett,Match Report,
142,,,,,,,,,,,,
143,17.0,Sat,2017-02-11,15:30,Golden Arrows,2–1,Bloem Celtic,3000.0,Princess Magogo Stadium,Phelelani Ndaba,Match Report,
144,17.0,Sat,2017-02-11,20:15,Maritzburg Utd,1–2,Kaizer Chiefs,8000.0,Harry Gwala Stadium,Naasif Moegamat Julius,Match Report,
145,17.0,Sat,2017-02-11,20:15,Ajax Cape Town,0–2,Cape Town City,10000.0,Cape Town Stadium,Victor Hlungwani,Match Report,
146,17.0,Sun,2017-02-12,15:30,Highlands Park,1–1,Polokwane City,1000.0,Makhulong Stadium,Shane Chuma,Match Report,
147,,,,,,,,,,,,
148,4.0,Tue,2017-02-14,19:30,Chippa Utd,1–1,Sundowns,15000.0,Sisa Dukashe Stadium,Victor Gomes,Match Report,
149,,,,,,,,,,,,
150,17.0,Wed,2017-02-15,19:30,Free State Stars,0–0,SuperSport,1500.0,James Motlatsi Stadium,Phelelani Ndaba,Match Report,
151,17.0,Wed,2017-02-15,19:30,Baroka FC,0–0,Platinum Stars,2000.0,Peter Mokaba Stadium,Thando Ndzandzeka,Match Report,
152,17.0,Wed,2017-02-15,19:30,Orlando Pirates,1–2,Bidvest Wits,2000.0,Orlando Stadium,Victor Hlungwani,Match Report,
153,,,,,,,,,,,,
154,18.0,Sat,2017-02-18,15:30,Polokwane City,1–1,Ajax Cape Town,1000.0,Peter Mokaba Stadium,Christopher Harrison,Match Report,
155,18.0,Sat,2017-02-18,15:30,Golden Arrows,0–1,Free State Stars,1500.0,Princess Magogo Stadium,Naasif Moegamat Julius,Match Report,
156,18.0,Sat,2017-02-18,18:00,Kaizer Chiefs,1–0,Highlands Park,15000.0,Moses Mabhida Stadium,Phelelani Ndaba,Match Report,
157,18.0,Sat,2017-02-18,20:15,Cape Town City,2–2,Orlando Pirates,15000.0,Cape Town Stadium,Victor Gomes,Match Report,
158,18.0,Sun,2017-02-19,15:30,Bloem Celtic,2–0,Chippa Utd,5000.0,Dr. Petrus Molemela Stadium,Kulasande Qongqo,Match Report,
159,18.0,Tue,2017-02-21,19:30,Platinum Stars,1–2,Sundowns,1500.0,Royal Bafokeng Stadium,Kulasande Qongqo,Match Report,
160,18.0,Wed,2017-02-22,19:30,Bidvest Wits,5–0,Baroka FC,2000.0,BidVest Stadium,Daniel Bennett,Match Report,
161,18.0,Wed,2017-02-22,19:30,SuperSport,4–1,Maritzburg Utd,2000.0,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
162,,,,,,,,,,,,
163,19.0,Fri,2017-02-24,20:00,Chippa Utd,2–2,Golden Arrows,10000.0,Sisa Dukashe Stadium,Victor Hlungwani,Match Report,
164,19.0,Sat,2017-02-25,15:30,Bloem Celtic,0–3,Platinum Stars,5000.0,Dr. Petrus Molemela Stadium,Phelelani Ndaba,Match Report,
165,19.0,Sat,2017-02-25,15:30,Orlando Pirates,1–1,Polokwane City,4000.0,Orlando Stadium,Christopher Harrison,Match Report,
166,19.0,Sat,2017-02-25,18:00,Sundowns,2–0,Bidvest Wits,10000.0,Loftus Versfeld Stadium,Thando Ndzandzeka,Match Report,
167,19.0,Sat,2017-02-25,20:15,Highlands Park,0–1,SuperSport,1600.0,Makhulong Stadium,Olani Kwinda,Match Report,
168,19.0,Sat,2017-02-25,20:15,Ajax Cape Town,1–1,Kaizer Chiefs,20000.0,Athlone Stadium,Daniel Bennett,Match Report,
169,19.0,Sun,2017-02-26,15:30,Baroka FC,0–3,Cape Town City,1500.0,Peter Mokaba Stadium,Bafana Mosia,Match Report,
170,19.0,Sun,2017-02-26,15:30,Maritzburg Utd,2–1,Free State Stars,8000.0,Harry Gwala Stadium,Kulasande Qongqo,Match Report,
171,,,,,,,,,,,,
172,17.0,Wed,2017-03-01,10:00,Sundowns,0–0,Chippa Utd,3000.0,Loftus Versfeld Stadium,Christopher Harrison,Match Report,
173,,,,,,,,,,,,
174,20.0,Fri,2017-03-03,20:00,Bidvest Wits,3–1,Bloem Celtic,500.0,BidVest Stadium,Christopher Harrison,Match Report,
175,20.0,Fri,2017-03-03,20:00,Platinum Stars,2–1,Chippa Utd,1000.0,Royal Bafokeng Stadium,Olani Kwinda,Match Report,
176,20.0,Fri,2017-03-03,20:00,Cape Town City,1–0,Sundowns,5000.0,Athlone Stadium,Victor Hlungwani,Match Report,
177,20.0,Sat,2017-03-04,15:30,Kaizer Chiefs,1–1,Orlando Pirates,55000.0,Soccer City,Kulasande Qongqo,Match Report,
178,20.0,Sat,2017-03-04,18:00,Golden Arrows,1–0,Maritzburg Utd,5000.0,Princess Magogo Stadium,Daniel Bennett,Match Report,
179,20.0,Sat,2017-03-04,20:15,SuperSport,0–0,Ajax Cape Town,1500.0,Lucas Masterpieces Moripe Stadium,Bafana Mosia,Match Report,
180,20.0,Sun,2017-03-05,15:30,Polokwane City,0–0,Baroka FC,3000.0,Peter Mokaba Stadium,Naasif Moegamat Julius,Match Report,
181,20.0,Sun,2017-03-05,15:30,Free State Stars,0–1,Highlands Park,500.0,Goble Park Stadium,Thando Ndzandzeka,Match Report,
182,,,,,,,,,,,,
183,21.0,Tue,2017-03-07,19:30,Platinum Stars,2–0,Golden Arrows,1500.0,Royal Bafokeng Stadium,Bart Vertenten,Match Report,
184,21.0,Tue,2017-03-07,19:30,Chippa Utd,0–0,Bidvest Wits,3000.0,Sisa Dukashe Stadium,Naasif Moegamat Julius,Match Report,
185,21.0,Tue,2017-03-07,19:30,Orlando Pirates,1–1,SuperSport,5000.0,Orlando Stadium,Victor Hlungwani,Match Report,
186,21.0,Tue,2017-03-14,19:30,Sundowns,0–0,Polokwane City,5000.0,Loftus Versfeld Stadium,Daniel Bennett,Match Report,
187,21.0,Fri,2017-03-17,20:00,Ajax Cape Town,2–2,Free State Stars,1500.0,Athlone Stadium,Kulasande Qongqo,Match Report,
188,21.0,Sat,2017-03-18,18:00,Bloem Celtic,0–0,Cape Town City,5000.0,Dr. Petrus Molemela Stadium,Thando Ndzandzeka,Match Report,
